amount_requested,days_since_incident,prior_claims_count,doc_confidence_score,consistency_score,has_police_report,has_medical_certificate,has_death_certificate,has_repair_estimate,document_count,policy_number_extracted,amount_vs_policy_limit_ratio,incident_on_weekend,submission_within_7_days,name_mismatch,date_mismatch,decision,claim_type_Multi-vehicle Collision,claim_type_Parked Car,claim_type_Single Vehicle Collision,claim_type_Vehicle Theft
71610.0,35,0,0.8086166344657351,0.6740531715354479,1,1,0,1,3,1,4.2416,1,0,0,0,REJECT,0,0,1,0
5070.0,39,0,0.9757071488588757,0.8167603789513432,0,0,0,0,0,1,0.3529,0,0,0,0,REJECT,0,0,0,1
34650.0,7,0,0.9122782431253075,0.9491783343505633,0,1,0,0,1,1,2.0433,1,1,0,0,APPROVE,1,0,0,0
63400.0,50,0,0.8736109604171406,0.8928899545638245,0,1,0,0,1,1,3.7319,1,0,0,0,REJECT,0,0,1,0
6500.0,12,0,0.7452454057283066,0.9226244591445799,0,0,0,0,0,1,0.342,0,0,0,0,APPROVE,0,0,0,1
64100.0,58,0,0.7452384108974988,0.8635133466842869,0,0,0,0,0,1,3.9536,0,0,0,0,REJECT,1,0,0,0
78650.0,47,0,0.7168442475287778,0.876910625807141,0,0,0,0,0,1,4.9156,0,0,0,0,APPROVE,1,0,0,0
51590.0,2,0,0.9511910822747311,0.9396782606261277,1,1,1,0,3,1,3.781,0,1,0,0,ESCALATE,1,0,0,0
27700.0,30,0,0.8743233534055306,0.6998672035436744,1,1,0,0,2,1,1.5997,0,0,0,0,ESCALATE,0,0,1,0
42300.0,55,0,0.9053410475608532,0.7957699854572562,0,1,1,0,2,1,2.6792,0,0,0,0,ESCALATE,0,0,1,0
87010.0,54,0,0.7059695033457827,0.6884837767278409,0,1,1,1,3,1,5.7862,0,0,0,0,ESCALATE,0,0,1,0
114920.0,14,0,0.9812738571269783,0.9950672031986588,1,1,0,1,3,1,8.4216,1,0,0,0,ESCALATE,1,0,0,0
56520.0,38,0,0.9414083658321223,0.9776237358746453,0,1,0,1,2,1,3.8754,0,0,0,0,ESCALATE,0,0,1,0
7280.0,52,0,0.7615783420967001,0.6157707245474023,0,1,0,0,1,1,0.6477,0,0,0,0,APPROVE,0,1,0,0
46200.0,45,0,0.7527292404900592,0.8822300690062754,1,0,0,0,1,1,2.959,0,0,0,0,REJECT,0,0,1,0
63120.0,31,0,0.7531873078574958,0.9700993269662663,0,0,0,1,1,1,4.6491,0,0,0,0,REJECT,1,0,0,0
52110.0,7,0,0.7882302504582659,0.6722301380509333,1,1,0,0,2,1,3.6204,1,1,0,0,ESCALATE,1,0,0,0
77880.0,54,0,0.8521793651733489,0.8271780922210518,1,0,0,0,1,1,9.1584,0,0,0,0,ESCALATE,0,0,1,0
72930.0,41,0,0.8252640554062135,0.9661953190352167,0,1,0,1,2,1,4.4225,0,0,0,0,ESCALATE,0,0,1,0
60400.0,7,0,0.7844564506574321,0.6135783914343195,0,1,0,0,1,1,3.4107,1,1,0,0,ESCALATE,1,0,0,0
47160.0,59,0,0.87743733946949,0.878968106898736,0,1,0,0,1,1,3.3082,0,0,1,0,APPROVE,1,0,0,0
37840.0,19,0,0.740453219589092,0.7189396029490203,0,1,0,0,1,1,3.6032,0,0,0,0,ESCALATE,1,0,0,0
71520.0,49,0,0.7847219480752132,0.9697584781506121,1,0,0,0,1,1,6.1306,1,0,0,0,REJECT,1,0,0,0
98160.0,41,0,0.8062449345551705,0.9884232980661471,0,1,1,0,2,1,6.4471,0,0,0,0,REJECT,0,0,1,0
