claim_type,amount_requested,doc_confidence_score,consistency_score,days_since_incident,has_police_report,has_medical_cert,prior_claims_count,label
LIFE_DEATH,77561.12,0.937,0.987,1,1,1,1,APPROVE
PROPERTY,54464.66,0.75,0.802,8,1,0,0,APPROVE
AUTO,31042.8,0.946,0.866,2,1,0,0,APPROVE
PROPERTY,334000.35,0.738,0.79,19,0,0,2,ESCALATE
AUTO,192948.0,0.271,0.15,71,0,0,3,REJECT
AUTO,17705.56,0.99,0.956,3,0,0,0,APPROVE
PROPERTY,1113949.95,0.379,0.15,77,0,0,4,REJECT
AUTO,83251.06,0.711,0.58,79,0,0,2,ESCALATE
AUTO,5649.78,0.865,0.813,13,1,0,0,APPROVE
AUTO,128679.43,0.644,0.696,44,0,0,2,ESCALATE
PROPERTY,97383.66,0.932,0.925,1,1,0,1,APPROVE
LIFE_DEATH,183126.02,0.951,0.97,22,0,1,0,APPROVE
PROPERTY,48683.56,0.986,0.8,1,0,0,0,APPROVE
PROPERTY,21962.45,0.795,0.988,2,0,0,0,APPROVE
PROPERTY,67099.72,0.829,0.927,11,1,0,0,APPROVE
LIFE_DEATH,249309.89,0.871,0.926,3,1,1,1,APPROVE
AUTO,18009.89,0.798,0.909,16,0,0,2,APPROVE
PROPERTY,1141791.43,0.2,0.251,52,0,0,2,REJECT
PROPERTY,70534.85,0.809,0.829,3,1,0,2,APPROVE
PROPERTY,73624.77,0.798,0.952,4,1,0,2,APPROVE
LIFE_DEATH,1260818.74,0.2,0.15,34,0,0,4,REJECT
PROPERTY,80567.68,0.773,0.993,9,1,0,0,APPROVE
AUTO,157322.65,0.277,0.365,135,0,0,6,REJECT
LIFE_DEATH,525454.87,0.745,0.732,32,0,1,1,ESCALATE
PROPERTY,77465.66,0.75,0.959,1,1,0,0,APPROVE
AUTO,23097.28,0.985,0.967,3,0,0,0,APPROVE
PROPERTY,15944.59,0.938,0.993,16,0,0,0,APPROVE
PROPERTY,44464.06,0.772,0.8,7,0,0,0,APPROVE
LIFE_DEATH,152494.93,0.846,0.857,5,0,1,0,APPROVE
PROPERTY,48109.72,0.986,0.8,4,0,0,0,APPROVE
AUTO,30214.67,0.925,0.8,8,1,0,0,APPROVE
LIFE_DEATH,248628.89,0.984,0.8,6,0,1,0,APPROVE
AUTO,32322.28,0.75,0.882,7,1,0,1,APPROVE
PROPERTY,1144736.22,0.395,0.15,135,0,0,5,REJECT
AUTO,13914.14,0.75,0.926,2,1,0,1,APPROVE
PROPERTY,89921.1,0.84,0.958,5,1,0,0,APPROVE
AUTO,376096.32,0.625,0.266,63,0,0,2,REJECT
PROPERTY,61983.12,0.804,0.983,22,1,0,1,APPROVE
LIFE_DEATH,1309087.87,0.2,0.525,95,0,0,2,REJECT
LIFE_DEATH,255664.03,0.75,0.967,1,1,1,0,APPROVE
PROPERTY,516687.39,0.748,0.654,15,1,0,1,ESCALATE
PROPERTY,42632.6,0.931,0.87,11,0,0,1,APPROVE
AUTO,326450.45,0.2,0.15,70,0,0,6,REJECT
AUTO,25139.1,0.849,0.934,9,0,0,0,APPROVE
AUTO,49085.17,0.951,0.92,1,1,0,1,APPROVE
PROPERTY,999144.08,0.342,0.336,82,0,0,3,REJECT
AUTO,74161.73,0.902,0.994,3,1,0,1,APPROVE
AUTO,25654.78,0.838,0.805,22,1,0,0,APPROVE
LIFE_DEATH,1252489.71,0.253,0.45,31,0,0,2,REJECT
PROPERTY,199613.72,0.845,0.76,47,0,0,2,ESCALATE
PROPERTY,66730.95,0.914,0.886,1,1,0,0,APPROVE
LIFE_DEATH,877010.52,0.2,0.457,105,0,0,4,REJECT
AUTO,24528.4,0.901,0.801,11,0,0,1,APPROVE
AUTO,26553.76,0.802,0.801,1,0,0,0,APPROVE
AUTO,8132.19,0.761,0.897,1,0,0,1,APPROVE
AUTO,20456.82,0.982,0.813,1,0,0,0,APPROVE
PROPERTY,77487.49,0.836,0.943,4,1,0,1,APPROVE
PROPERTY,102242.43,0.821,0.967,1,1,0,1,APPROVE
AUTO,235989.92,0.471,0.15,101,0,0,4,REJECT
AUTO,4748.18,0.91,0.876,11,1,0,1,APPROVE
